id,block_code,sequence,layout,interior_m2,outdoor_m2,floor_level,price_amount,price_currency,price_confidence,sale_status,data_quality,is_modelled,source_url
AZW-B01-0001,B01,1,3+1,183.0,,4,574000.0,EUR,single_source,available,portal_listing,false,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya/
AZW-B01-0002,B01,2,1+1,80.0,,4,112000.0,EUR,single_source,available,portal_listing,false,https://hasporealty.com/en/properties/prodaetsya-kvartira-1-1-v-komplekse-azura-world-oba-alanya/
AZW-B01-0003,B01,3,3+1,183.0,,4,574000.0,EUR,single_source,available,portal_listing,false,https://hasporealty.com/en/properties/prodaetsya-apartamenty-3-1-xl-v-komplekse-azura-world-tyurkler-alanya-2/
AZW-B01-0004,B01,4,3+1,140.0,,3,415000.0,EUR,single_source,available,portal_listing,false,https://hasporealty.com/en/properties/kvartira-3-1-azura-world-tyurkler-alanya-2/
AZW-B01-0005,B01,5,3+1,140.0,,5,445000.0,EUR,single_source,available,portal_listing,false,https://hasporealty.com/en/properties/kvartira-3-1-azura-world-tyurkler-alanya/
AZW-B01-0006,B01,6,2+1,129.0,,1,242000.0,EUR,single_source,available,portal_listing,false,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-3/
AZW-B01-0007,B01,7,2+1,3.0,,1,242000.0,EUR,single_source,available,portal_listing,false,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya-2/
AZW-B01-0008,B01,8,1+1,85.0,,5,169000.0,EUR,single_source,available,portal_listing,false,https://hasporealty.com/en/properties/kvartira-1-1-v-azura-world-residence-turkler-alaniya/
AZW-B01-0009,B01,9,1+1,85.0,,4,168000.0,EUR,single_source,available,portal_listing,false,https://hasporealty.com/en/properties/kvartira-1-1-azura-world-tyurkler-alanya/
AZW-B01-0010,B01,10,1+1,85.0,,3,161000.0,EUR,single_source,available,portal_listing,false,https://hasporealty.com/en/properties/prostornaya-kvartira-1-1-v-azura-world-residencetyurkler-alaniya/
AZW-B01-0011,B01,11,1+1,85.0,,1,161000.0,EUR,single_source,available,portal_listing,false,https://hasporealty.com/en/properties/kvartira-1-1-azura-world-turkler-alanya/
AZW-B01-0012,B01,12,1+1,85.0,,1,137000.0,EUR,single_source,available,portal_listing,false,https://hasporealty.com/en/properties/kvartira-1-1-azura-world-tyurkler-alanya-2/
AZW-B01-0013,B01,13,2+1,129.0,,2,259000.0,EUR,single_source,available,portal_listing,false,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-tyurkler-alanya/
AZW-B01-0014,B01,14,1+1,85.0,,1,178000.0,EUR,single_source,available,portal_listing,false,https://hasporealty.com/en/properties/kvartira-1-1-azura-world-turkler-alanya-2/
AZW-B01-0015,B01,15,2+1,249.0,,,390000.0,EUR,single_source,available,portal_listing,false,https://hasporealty.com/en/properties/kvartira-2-1-xl-azura-world-residence-hotel/
AZW-B01-0016,B01,16,2+1,105.0,,,245000.0,EUR,single_source,available,portal_listing,false,https://hasporealty.com/en/properties/kvartira-2-1-azura-world-residence-hotel/
AZW-B01-0017,B01,17,1+1,89.0,,2,190000.0,EUR,single_source,available,portal_listing,false,https://hasporealty.com/en/properties/kvartira-1-1-azura-world-residence-hotel/
AZW-B01-0018,B01,18,1+1,92.0,,5,185000.0,EUR,single_source,available,portal_listing,false,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0019,B01,19,1+1,85.0,,3,210000.0,EUR,single_source,available,portal_listing,false,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0020,B01,20,2+1,129.0,,4,264000.0,EUR,single_source,available,portal_listing,false,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0021,B01,21,2+1,157.0,,2,363000.0,EUR,single_source,available,portal_listing,false,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0022,B01,22,3+1,183.0,,0,401000.0,EUR,single_source,available,portal_listing,false,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0023,B01,23,2+1,118.0,,0,450000.0,EUR,single_source,available,portal_listing,false,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
AZW-B01-0024,B01,24,4+1,313.0,,,650000.0,EUR,single_source,available,portal_listing,false,https://www.seaside-alanya.com/de/antalya-alanya/residence/azura-world-residence
